ACC=0.691901, f1_macro=0.696464, precision_macro=0.702574, recall_macro=0.698877, f1_micro=0.691901, precision_micro=0.691901, recall_micro=0.691901, NMI=0.454078, ADJ_RAND_SCORE=0.421069
ACC=0.690248, f1_macro=0.694981, precision_macro=0.700911, recall_macro=0.697196, f1_micro=0.690248, precision_micro=0.690248, recall_micro=0.690248, NMI=0.452559, ADJ_RAND_SCORE=0.419298
ACC=0.688595, f1_macro=0.693732, precision_macro=0.699895, recall_macro=0.695469, f1_micro=0.688595, precision_micro=0.688595, recall_micro=0.688595, NMI=0.450019, ADJ_RAND_SCORE=0.415949
ACC=0.688595, f1_macro=0.693732, precision_macro=0.699895, recall_macro=0.695469, f1_micro=0.688595, precision_micro=0.688595, recall_micro=0.688595, NMI=0.450019, ADJ_RAND_SCORE=0.415949
ACC=0.683636, f1_macro=0.689161, precision_macro=0.694083, recall_macro=0.690523, f1_micro=0.683636, precision_micro=0.683636, recall_micro=0.683636, NMI=0.453968, ADJ_RAND_SCORE=0.416019
ACC=0.665455, f1_macro=0.676025, precision_macro=0.687111, recall_macro=0.671458, f1_micro=0.665455, precision_micro=0.665455, recall_micro=0.665455, NMI=0.436659, ADJ_RAND_SCORE=0.379222
ACC=0.668760, f1_macro=0.678971, precision_macro=0.690202, recall_macro=0.674795, f1_micro=0.668760, precision_micro=0.668760, recall_micro=0.668760, NMI=0.438341, ADJ_RAND_SCORE=0.381658
ACC=0.667438, f1_macro=0.677926, precision_macro=0.689431, recall_macro=0.673374, f1_micro=0.667438, precision_micro=0.667438, recall_micro=0.667438, NMI=0.435706, ADJ_RAND_SCORE=0.378380
ACC=0.678347, f1_macro=0.686566, precision_macro=0.694701, recall_macro=0.684805, f1_micro=0.678347, precision_micro=0.678347, recall_micro=0.678347, NMI=0.450322, ADJ_RAND_SCORE=0.401765
ACC=0.678347, f1_macro=0.686566, precision_macro=0.694701, recall_macro=0.684805, f1_micro=0.678347, precision_micro=0.678347, recall_micro=0.678347, NMI=0.450322, ADJ_RAND_SCORE=0.401765
ACC=0.679339, f1_macro=0.687402, precision_macro=0.695338, recall_macro=0.685841, f1_micro=0.679339, precision_micro=0.679339, recall_micro=0.679339, NMI=0.452347, ADJ_RAND_SCORE=0.404067
ACC=0.679339, f1_macro=0.687402, precision_macro=0.695338, recall_macro=0.685841, f1_micro=0.679339, precision_micro=0.679339, recall_micro=0.679339, NMI=0.452347, ADJ_RAND_SCORE=0.404067
ACC=0.670744, f1_macro=0.680197, precision_macro=0.690299, recall_macro=0.676899, f1_micro=0.670744, precision_micro=0.670744, recall_micro=0.670744, NMI=0.437598, ADJ_RAND_SCORE=0.385319
ACC=0.701157, f1_macro=0.693825, precision_macro=0.728060, recall_macro=0.710715, f1_micro=0.701157, precision_micro=0.701157, recall_micro=0.701157, NMI=0.484407, ADJ_RAND_SCORE=0.450032
ACC=0.683967, f1_macro=0.689314, precision_macro=0.694417, recall_macro=0.690927, f1_micro=0.683967, precision_micro=0.683967, recall_micro=0.683967, NMI=0.455056, ADJ_RAND_SCORE=0.417182
ACC=0.674380, f1_macro=0.683299, precision_macro=0.693251, recall_macro=0.680659, f1_micro=0.674380, precision_micro=0.674380, recall_micro=0.674380, NMI=0.438936, ADJ_RAND_SCORE=0.390520
ACC=0.682975, f1_macro=0.690555, precision_macro=0.699036, recall_macro=0.689562, f1_micro=0.682975, precision_micro=0.682975, recall_micro=0.682975, NMI=0.451800, ADJ_RAND_SCORE=0.406933
ACC=0.682975, f1_macro=0.690555, precision_macro=0.699036, recall_macro=0.689562, f1_micro=0.682975, precision_micro=0.682975, recall_micro=0.682975, NMI=0.451800, ADJ_RAND_SCORE=0.406933
ACC=0.682975, f1_macro=0.690555, precision_macro=0.699036, recall_macro=0.689562, f1_micro=0.682975, precision_micro=0.682975, recall_micro=0.682975, NMI=0.451800, ADJ_RAND_SCORE=0.406933
ACC=0.682645, f1_macro=0.690212, precision_macro=0.698726, recall_macro=0.689248, f1_micro=0.682645, precision_micro=0.682645, recall_micro=0.682645, NMI=0.451744, ADJ_RAND_SCORE=0.406832
ACC=0.682645, f1_macro=0.690212, precision_macro=0.698726, recall_macro=0.689248, f1_micro=0.682645, precision_micro=0.682645, recall_micro=0.682645, NMI=0.451744, ADJ_RAND_SCORE=0.406832
ACC=0.682645, f1_macro=0.689977, precision_macro=0.698276, recall_macro=0.689248, f1_micro=0.682645, precision_micro=0.682645, recall_micro=0.682645, NMI=0.449272, ADJ_RAND_SCORE=0.406021
ACC=0.682314, f1_macro=0.687573, precision_macro=0.693074, recall_macro=0.689364, f1_micro=0.682314, precision_micro=0.682314, recall_micro=0.682314, NMI=0.453216, ADJ_RAND_SCORE=0.416069
ACC=0.666116, f1_macro=0.676669, precision_macro=0.687504, recall_macro=0.672110, f1_micro=0.666116, precision_micro=0.666116, recall_micro=0.666116, NMI=0.437613, ADJ_RAND_SCORE=0.380365
ACC=0.676033, f1_macro=0.684859, precision_macro=0.694881, recall_macro=0.682289, f1_micro=0.676033, precision_micro=0.676033, recall_micro=0.676033, NMI=0.438598, ADJ_RAND_SCORE=0.391238
ACC=0.683967, f1_macro=0.691243, precision_macro=0.699221, recall_macro=0.690602, f1_micro=0.683967, precision_micro=0.683967, recall_micro=0.683967, NMI=0.452244, ADJ_RAND_SCORE=0.409393
ACC=0.683967, f1_macro=0.690773, precision_macro=0.699336, recall_macro=0.690700, f1_micro=0.683967, precision_micro=0.683967, recall_micro=0.683967, NMI=0.445951, ADJ_RAND_SCORE=0.408024
ACC=0.683967, f1_macro=0.690773, precision_macro=0.699336, recall_macro=0.690700, f1_micro=0.683967, precision_micro=0.683967, recall_micro=0.683967, NMI=0.445951, ADJ_RAND_SCORE=0.408024
ACC=0.690579, f1_macro=0.695253, precision_macro=0.702213, recall_macro=0.697639, f1_micro=0.690579, precision_micro=0.690579, recall_micro=0.690579, NMI=0.451580, ADJ_RAND_SCORE=0.420311
ACC=0.690579, f1_macro=0.695253, precision_macro=0.702213, recall_macro=0.697639, f1_micro=0.690579, precision_micro=0.690579, recall_micro=0.690579, NMI=0.451580, ADJ_RAND_SCORE=0.420311
ACC=0.685620, f1_macro=0.690907, precision_macro=0.696142, recall_macro=0.692556, f1_micro=0.685620, precision_micro=0.685620, recall_micro=0.685620, NMI=0.454601, ADJ_RAND_SCORE=0.417873
ACC=0.684298, f1_macro=0.689712, precision_macro=0.694552, recall_macro=0.691214, f1_micro=0.684298, precision_micro=0.684298, recall_micro=0.684298, NMI=0.455508, ADJ_RAND_SCORE=0.417601
ACC=0.676364, f1_macro=0.684696, precision_macro=0.692302, recall_macro=0.682850, f1_micro=0.676364, precision_micro=0.676364, recall_micro=0.676364, NMI=0.451397, ADJ_RAND_SCORE=0.402519
ACC=0.679669, f1_macro=0.687681, precision_macro=0.695552, recall_macro=0.686186, f1_micro=0.679669, precision_micro=0.679669, recall_micro=0.679669, NMI=0.453028, ADJ_RAND_SCORE=0.404837
ACC=0.678347, f1_macro=0.686408, precision_macro=0.694089, recall_macro=0.684852, f1_micro=0.678347, precision_micro=0.678347, recall_micro=0.678347, NMI=0.451514, ADJ_RAND_SCORE=0.403617
